mu=1.000000e-10, code time=151.198656 (in min) 
"mu" 	 	 "||A||^2/2^L 	 	 wij_min_nonint 	 	 wij_max_nonint" 
2.00000000000000000000e+00	7.67963086905255054582e-02	1.23402370011570994279e+00	5.37271365534520839446e+00
3.00000000000000000000e+00	3.72952009578483123509e-01	3.67997194566965335483e-01	8.72775995797132431164e+00
4.00000000000000000000e+00	5.87481319179538830078e-01	6.57023757451593581891e-02	1.18124587834716159307e+01
5.00000000000000000000e+00	2.38325613926366708384e+00	1.05852338040390847596e-02	1.51534793135139160825e+01
6.00000000000000000000e+00	4.54381091337767895055e+00	1.72247690934845820721e-03	1.82585719542567090912e+01
7.00000000000000000000e+00	1.25208989719646321959e+01	2.15168492635697816695e-04	2.15815864224203046717e+01
8.00000000000000000000e+00	6.11881542288978010902e+01	3.77997266269858300802e-05	2.47011449094245136848e+01
9.00000000000000000000e+00	4.31038290866312877370e+02	8.12895381230305247300e-07	2.80101254785636264444e+01
1.00000000000000000000e+01	3.97640476800083388298e+03	6.03912548413632066513e-07	3.11411096892098200328e+01
1.10000000000000000000e+01	3.42807444854024515735e+03	4.08439682075822929619e-09	3.44388703015712138722e+01
1.20000000000000000000e+01	7.12416790112950002367e+03	2.30793375521898269653e-08	3.75791979082154909975e+01
1.30000000000000000000e+01	1.49512591218982288410e+04	4.94738827683249837719e-09	4.08677568332686860231e+01
1.40000000000000000000e+01	4.43756667850394806010e+04	8.63927596128633012995e-10	4.40158972270751434053e+01

