 L=3, code time=0.000758 (in min) 
wij_min=3.67997194566965335483e-01, wij_max=8.72775995797132786436e+00 
"mu" 	 	 "||A||^2" 
1.00000000000000003643e-10	2.98361607662786143536e+00
1.18953406737032067258e-10	2.98361607662786143536e+00
1.41499129743457873129e-10	2.98361607662786143536e+00
1.68318035333095502864e-10	2.98361607662786143536e+00
2.00220037181558437944e-10	2.98361607662786143536e+00
2.38168555197616074720e-10	2.98361607662786143536e+00
2.83309610183931825768e-10	2.98361607662786143536e+00
3.37006432927192451466e-10	2.98361607662786143536e+00
4.00880632889846438503e-10	2.98361607662786143536e+00
4.76861169771447397447e-10	2.98361607662786143536e+00
5.67242606849198883471e-10	2.98361607662786143536e+00
6.74754405311068558404e-10	2.98361607662786143536e+00
8.02643352225717377815e-10	2.98361607662786143536e+00
9.54771611420806508922e-10	2.98361607662786143536e+00
1.13573335834310288916e-09	2.98361607662786143536e+00
1.35099352119802519251e-09	2.98361607662786143536e+00
1.60705281826163847742e-09	2.98361607662786143536e+00
1.91164407538570385981e-09	2.98361607662786143536e+00
2.27396575235793215061e-09	2.98361607662786143536e+00
2.70495973046313136377e-09	2.98361607662786143536e+00
3.21764175025073519961e-09	2.98361607662786143536e+00
3.82749447851631517473e-09	2.98361607662786143536e+00
4.55293507486693877322e-09	2.98361607662786143536e+00
5.41587137807946464627e-09	2.98361607662786143536e+00
6.44236350872137046605e-09	2.98361607662786143536e+00
7.66341086800746217065e-09	2.98361607662786143536e+00
9.11588829975083781184e-09	2.98361607662786143536e+00
1.08436596868960860500e-08	2.98361607662786143536e+00
1.28989026125330806031e-08	2.98361607662786143536e+00
1.53436840893001327414e-08	2.98361607662786143536e+00
1.82518349431904239544e-08	2.98361607662785965900e+00
2.17111794569450085411e-08	2.98361607662785965900e+00
2.58261876068267474279e-08	2.98361607662785877082e+00
3.07211299886175937724e-08	2.98361607662785877082e+00
3.65438307095725478011e-08	2.98361607662785743855e+00
4.34701315812501717294e-08	2.98361607662785521811e+00
5.17092024289675556895e-08	2.98361607662785299766e+00
6.15098578858050436024e-08	2.98361607662784811268e+00
7.31680714342719159342e-08	2.98361607662784367179e+00
8.70359136148514768755e-08	2.98361607662783612227e+00
1.03532184329566155945e-07	2.98361607662782590822e+00
1.23155060329282628142e-07	2.98361607662781080919e+00
1.46497139830728482315e-07	2.98361607662778860472e+00
1.74263338600964726368e-07	2.98361607662775751848e+00
2.07292177959536982755e-07	2.98361607662771488592e+00
2.46581107582260368077e-07	2.98361607662765493387e+00
2.93316627839004215282e-07	2.98361607662756833648e+00
3.48910121340676632595e-07	2.98361607662744621194e+00
4.15040475785047253506e-07	2.98361607662727301715e+00
4.93704785283900377408e-07	2.98361607662702921218e+00
5.87278661318947677360e-07	2.98361607662668371077e+00
6.98587974678523438553e-07	2.98361607662619343628e+00
8.30994194935338645275e-07	2.98361607662550154529e+00
9.88495904662558603124e-07	2.98361607662452232859e+00
1.17584955405215584945e-06	2.98361607662313677025e+00
1.39871310264723580700e-06	2.98361607662117611639e+00
1.66381688607612741576e-06	2.98361607661840100292e+00
1.97916686785355745422e-06	2.98361607661447436612e+00
2.35428641432241558251e-06	2.98361607660891969829e+00
2.80050389418362536830e-06	2.98361607660105798701e+00
3.33129478793466996157e-06	2.98361607658993532866e+00
3.96268863870147865241e-06	2.98361607657419547479e+00
4.71375313411671956475e-06	2.98361607655192306865e+00
5.60716993820544644058e-06	2.98361607652041094241e+00
6.66991966303011471555e-06	2.98361607647582038894e+00
7.93409666579749174359e-06	2.98361607641272330582e+00
9.43787827777537116788e-06	2.98361607632344183472e+00
1.12266777351081134160e-05	2.98361607619711088901e+00
1.33545156292989743022e-05	2.98361607601835254755e+00
1.58856512942805287736e-05	2.98361607576541132403e+00
1.88965233969120774546e-05	2.98361607540750251033e+00
2.24780583354872084143e-05	2.98361607490106273133e+00
2.67384161583994387596e-05	2.98361607418445640150e+00
3.18062569279411891474e-05	2.98361607317046484411e+00
3.78346261713192539211e-05	2.98361607173567522366e+00
4.50055767570048807541e-05	2.98361606970545878426e+00
5.35356667741071883264e-05	2.98361606683272295726e+00
6.36824994471858567540e-05	2.98361606276782520553e+00
7.57525025877190441017e-05	2.98361605701602927709e+00
9.01101825166500034186e-05	2.98361604887729026103e+00
1.07189131920512647003e-04	2.98361603736104408213e+00
1.27505124071301280918e-04	2.98361602106565593218e+00
1.51671688847092111336e-04	2.98361599800782473224e+00
1.80418640939206798403e-04	2.98361596538119444588e+00
2.14614119785840143937e-04	2.98361591921479885059e+00
2.55290806823951646823e-04	2.98361585388975170119e+00
3.03677111803545452407e-04	2.98361576145538398563e+00
3.61234269970942293779e-04	2.98361563066156509905e+00
4.29700470432083515403e-04	2.98361544558946834016e+00
5.11143348344016536580e-04	2.98361518371409983885e+00
6.08022426164941498343e-04	2.98361481316280219289e+00
7.23263389648351917756e-04	2.98361428883608637008e+00
8.60346441668449106802e-04	2.98361354691863311928e+00
1.02341140210545277975e-03	2.98361249711247111804e+00
1.21738272773965947558e-03	2.98361101164704489719e+00
1.44811822767453002823e-03	2.98360890972870773652e+00
1.72258596539878391929e-03	2.98360593553718933535e+00
2.04907468981584605858e-03	2.98360172709135218483e+00
2.43744415012221672320e-03	2.98359577219569782613e+00
2.89942285388286938308e-03	2.98358734610737297288e+00
3.44896226040575281171e-03	2.98357542334020386932e+00
4.10265810582719023941e-03	2.98355855287754767602e+00
4.88025158365442378317e-03	2.98353468161829127325e+00
5.80522551609488363794e-03	2.98350090459199401849e+00
