mu=1.000000e-10, code time=138.760695 (in min) 
"mu" 	 	 "||A||^2/2^L 	 	 wij_min_int 	 	 wij_max_int" 
2.00000000000000000000e+00	4.90148024703460072609e-05	2.00000000000000532907e+00	2.00997512422417621281e+01
3.00000000000000000000e+00	1.07124128127716227235e-04	1.36157832453165728026e+00	3.01999950498712692593e+01
4.00000000000000000000e+00	1.69005916025263141795e-04	1.33591984951774378487e-01	4.03002473845704400901e+01
5.00000000000000000000e+00	2.33038736914891359301e-04	1.32938316132499068090e-01	5.04004999188732369930e+01
6.00000000000000000000e+00	2.98427925732089869334e-04	9.53783318914105393560e-02	6.05007524585565619191e+01
7.00000000000000000000e+00	3.64724481700775052251e-04	3.63710354643309585754e-02	7.06010049983972862719e+01
8.00000000000000000000e+00	4.31656341493028288155e-04	8.58094094015271480203e-03	8.07012575382429844240e+01
9.00000000000000000000e+00	4.99049684102922204085e-04	2.34589925360983997393e-03	9.08015100780887962628e+01
1.00000000000000000000e+01	5.66788516963100076282e-04	2.31945041170633636796e-03	1.00901762617934508626e+02
1.10000000000000000000e+01	6.34792579779477591020e-04	1.60754331214985057841e-04	1.11002015157780334675e+02
1.20000000000000000000e+01	7.03004616092981773033e-04	7.58371697617832296601e-05	1.21102267697626047038e+02
1.30000000000000000000e+01	7.71382706886818538330e-04	2.77971146900313215156e-06	1.31202520237471873088e+02
1.40000000000000000000e+01	8.39895462438448327756e-04	2.18897788126781733808e-05	1.41302772777317727559e+02
